CrystalBoard BOM,,,,,,,,
Sr. No.,Product,Name,Link,Unit Price,Quantity,Shipping,Total Price,
1,Switches,Gateron G Pro 3.0 Brown KS-9 Tactile Switch (Pack of 10),https://stackskb.com/store/gateron-g-pro-3-0-brown-ks-9-tactile-switch-pack-of-10/,175,9,100,1675,
2,PCB,Keyboard PCB from JLCPCB,https://www.jlcpcb.com/,"1,679.80",1,"1,166.23",2846.03,
3,Acrylic Sheets,Transparent Acrylic Sheets 4ft * 2ft,https://polylot.in/online-store-acrylic-polycarbonate-sheet-buy-online-iindia/acrylicsheet/acrylic-sheets/,1020,2,300,2340,
4,Diodes,1N4148 Through Holes,https://amzn.in/d/j3eLvoh,100,1,0,100,
5,Screws and Spacers,(Will buy from Local Hardware Shop),__,0,0,0,0,
6,Raspberry Pi Pico,Raspberry Pi Pico,https://amzn.in/d/0y7kWCl,426,1,50,476,
7,Stabilizers,Durock Clear Screw-In Stabilizers V2,https://stackskb.com/store/durock-smokey-screw-in-stabilizers-v2/,"1,595",1,0,1595,
8,Keycaps,Veekos Gradient Keycaps (Cherry Profile) (135 keys),https://stackskb.com/store/veekos-gradient-keycaps-cherry-profile-135-keys/,"1,299",1,0,1299,
9,Neopixels,SK6812MINI-E,https://www.lcsc.com/product-detail/C5149201.html,5.19,90,330,797.1,
Total Price,,,,,,,11128.13,(in rupees)
,,,,,,,$ 127 Approx,
